category,transaction_count,unique_contributors,total_revenue,percentage_of_total,avg_transaction_amount,revenue_2024,revenue_2025,jan_2025,feb_2025,mar_2025,apr_2025,may_2025,jun_2025,jul_2025,credit_card_revenue,check_revenue,calculated_revenue
grant,1,1,279573.79,94.13302344189263,279573.79,0.0,279573.79,0.0,0.0,0.0,0.0,0.0,279573.79,0.0,0.0,0.0,0.0
membership,183,182,7340.0,2.471391871403582,40.10928961748634,720.0,6620.0,240.0,220.0,680.0,360.0,1120.0,3020.0,980.0,0.0,0.0,7340.0
donation,73,69,5104.8,1.718795807239919,69.92876712328767,190.0,4914.8,40.0,40.0,45.0,162.4,1029.6,2535.0,1062.8,305.0,100.0,0.0
other,40,35,3376.0,1.136705580089713,84.4,0.0,3376.0,760.0,460.0,1120.0,281.8,696.2,58.0,0.0,2314.2,560.0,0.0
building_booster,18,3,1604.04,0.5400832993741419,89.11333333333333,0.0,1604.04,267.34,267.34,267.34,267.34,267.34,267.34,0.0,1604.04,0.0,0.0
